Protocol,Count,Type
Ethernet,10,protocol
IP,10,protocol
TCP,10,protocol
Raw,5,protocol
802.3,1,protocol
LLC,1,protocol
Spanning Tree Protocol,1,protocol
Raw,7,protocol
Ethernet,9,protocol
IP,9,protocol
TCP,8,protocol
UDP,1,protocol
222.192.186.76,5,source
10.77.74.168,5,source
10.77.74.168,5,destination
222.192.186.76,3,destination
52.168.112.66,1,destination
192.168.200.17,1,destination
10.77.74.168,6,source
121.194.11.72,2,source
183.47.102.193,1,source
121.194.11.72,3,destination
10.77.74.168,3,destination
40.81.185.240,1,destination
183.47.102.193,2,destination
PA,5
A,4
S,1
PA,5
A,3
